sira,kelime,artikel,cogul,genitiv_tekil,frekans,coklu_anlam_uyari
125,Menge,die,Mengen,Menge,22618,
126,Büro,das,Büros,Büros,22253,
127,Ruf,der,Rufe,Rufes,21947,
128,Schaffen,das,-,Schaffens,21929,
129,Leider,der,Leider,Leiders,21867,
130,Hölle,die,Höllen,Hölle,21656,
131,Doktor,der,Doktoren,-,21392,
132,Film,der,Filme,Films,21254,
133,Hund,der,Hunde,Hunds,21146,
134,Schiff,das,Schiffe,Schiffs,20825,
135,Neues,das,-,-,20814,
136,König,der,Könige,Königs,20785,
137,Lernen,das,-,Lernens,20579,
138,Feuer,das,Feuer,Feuers,20404,
139,Laufen,das,-,Laufens,20390,
140,Stelle,die,Stellen,Stelle,20224,
141,Kumpel,der,-,Kumpels,20189,
142,Kaffee,der,Kaffees,Kaffees,19999,"EVET - iki farkli cinsiyeti var, kontrol et"
143,Luft,die,Lüfte,Luft,19958,"EVET - iki farkli cinsiyeti var, kontrol et"
144,Verschwinden,das,-,Verschwindens,19631,
145,Buch,das,Bücher,Buchs,19306,
146,Wert,der,Werte,Wertes,19128,
147,Arzt,der,Ärzte,Arztes,19080,
148,Straße,die,Straßen,Straße,18963,
149,Super,das,-,Supers,18808,
150,Onkel,der,Onkel,Onkels,18581,
151,Total,das,Totale,Totals,18569,
152,Party,die,Partys,Party,18531,
153,Wahl,die,Wahlen,Wahl,18477,
154,Vertrauen,das,-,Vertrauens,18459,
155,Gefühl,das,Gefühle,Gefühls,18285,
156,Stück,das,Stücke,Stücks,18090,
157,Zukunft,die,Zukünfte,Zukunft,17963,
158,Licht,das,-,Lichts,17780,
159,Himmel,der,Himmel,Himmels,17755,
160,Nachricht,die,Nachrichten,Nachricht,17710,
161,Laut,der,Laute,Lauts,17612,
162,Erde,die,Erden,Erde,17474,
163,Schlüssel,der,Schlüssel,Schlüssels,17425,
164,Rest,der,Reste,Rests,17407,
165,REST,die,-,REST,17407,
166,Gefängnis,das,Gefängnisse,Gefängnisses,17175,
167,Opfer,das,Opfer,Opfers,17150,
168,Körper,der,Körper,Körpers,17147,
169,Mist,der,-,Mists,17132,
170,Schreiben,das,Schreiben,Schreibens,16942,
171,Versuch,der,Versuche,Versuches,16884,
172,Sex,der,-,Sex,16739,
173,Wohnung,die,Wohnungen,Wohnung,16722,
174,Weh,das,Wehe,Wehs,16694,
175,Krankenhaus,das,Krankenhäuser,Krankenhauses,16645,
176,Klasse,die,Klassen,Klasse,16595,
177,Hart,der,Harte,Harts,16572,
178,Sinn,der,Sinne,Sinns,16557,"EVET - iki farkli cinsiyeti var, kontrol et"
179,Daddy,der,Daddys,Daddys,16329,
180,Stolz,der,-,Stolzes,16247,
181,Person,die,Personen,Person,16074,
182,Stand,der,Stände,Standes,15933,
183,Fühlen,das,-,Fühlens,15884,
184,Boden,der,Böden,Bodens,15878,
185,Boss,der,Bosse,Bosses,15863,
186,Stimme,die,Stimmen,Stimme,15843,
187,Sicherheit,die,Sicherheiten,Sicherheit,15829,
188,Mund,der,Münder,Mundes,15761,"EVET - iki farkli cinsiyeti var, kontrol et"
189,Lachen,das,-,Lachens,15635,
190,Zeug,das,Zeuge,Zeugs,15621,
191,Laden,der,-,Ladens,15400,"EVET - iki farkli cinsiyeti var, kontrol et"
192,Meinung,die,Meinungen,Meinung,15337,
193,Lesen,das,-,Lesens,15312,
194,Mörder,der,Mörder,Mörders,15310,
195,Geschehen,das,Geschehen,Geschehens,15259,
196,Geschäft,das,Geschäfte,Geschäftes,15254,
197,Idiot,der,Idioten,Idioten,15243,
198,Verzeihung,die,-,Verzeihung,15194,
199,Fliegen,das,-,Fliegens,15169,
200,Team,das,Teams,Teams,15159,
201,General,der,-,Generals,15146,
202,Perfekt,das,Perfekte,Perfekts,14848,
203,Handy,das,Handys,Handys,14818,
204,Mord,der,Morde,Mords,14671,
205,Liebling,der,Lieblinge,Lieblings,14521,
206,Nähe,die,-,Nähe,14368,
207,Hole,das,Holes,Holes,14206,
208,Tisch,der,Tische,Tischs,14201,
209,Hotel,das,Hotels,Hotels,13914,
210,Meister,der,Meister,Meisters,13869,
211,Kampf,der,Kämpfe,Kampfs,13849,
212,Antwort,die,Antworten,Antwort,13848,
213,Ärger,der,-,Ärgers,13682,
214,Bild,das,Bilder,Bilds,13679,
215,Tom,der,-,Tom,13560,
216,Leiche,die,Leichen,Leiche,13500,
217,Auge,das,Augen,Auges,13475,
218,Agent,der,Agenten,Agenten,13322,
219,Traum,der,Träume,Traumes,13300,
220,Entscheidung,die,Entscheidungen,Entscheidung,13275,
221,Fenster,das,Fenster,Fensters,13233,
222,Fangen,das,-,Fangens,13232,
223,Fort,das,Forts,Forts,13175,
224,Gefahr,die,Gefahren,Gefahr,13071,
225,Augenblick,der,Augenblicke,Augenblicks,13032,
226,Bescheid,der,Bescheide,Bescheides,13023,
227,Rum,der,-,Rums,12996,"EVET - iki farkli cinsiyeti var, kontrol et"
228,Gedanken,der,Gedanken,Gedankens,12995,
229,Ziel,das,Ziele,Zieles,12939,
230,Bewegung,die,Bewegungen,Bewegung,12855,
231,Anfang,der,Anfänge,Anfanges,12784,
232,Anwalt,der,Anwälte,Anwalts,12728,
233,Arme,die,-,-,12576,
234,Bier,das,Biere,Bieres,12543,
235,Partner,der,Partner,Partners,12484,
236,Klein,das,-,Kleins,12473,
237,Klappe,die,Klappen,Klappe,12451,
238,Süß,das,-,Süßes,12416,
239,Finger,der,Finger,Fingers,12399,
240,Ehe,die,Ehen,Ehe,12381,
241,Rolle,die,Rollen,Rolle,12375,"EVET - iki farkli cinsiyeti var, kontrol et"
242,Hochzeit,die,Hochzeiten,Hochzeit,12310,
243,Paris,der,-,-,12301,
244,Arm,der,Arme,Arms,12247,
245,Chef,der,Chefs,Chefs,12195,
246,Tanzen,das,-,Tanzens,12149,
247,Ansehen,das,-,Ansehens,12148,
248,Zuhause,das,-,Zuhause,12137,
249,Reise,die,Reisen,Reise,12030,
250,Dame,die,Damen,Dame,12010,
251,Alex,der,-,Alex,11988,
252,Tolle,die,Tollen,Tolle,11960,
253,Raum,der,Räume,Raums,11906,
254,Foto,der,Fotos,Fotos,11901,
255,Weile,die,-,Weile,11866,
256,Minute,die,Minuten,Minute,11833,
257,Zug,der,Züge,Zuges,11819,
258,Seele,die,Seelen,Seele,11638,
259,Schießen,das,Schießen,Schießens,11613,
260,Brief,der,Briefe,Briefs,11573,
261,Sucht,die,-,Sucht,11523,
262,Unfall,der,Unfälle,Unfalls,11449,
263,Kontrolle,die,Kontrollen,Kontrolle,11436,
264,Lady,die,Ladys,Lady,11422,
265,Weise,die,Weisen,Weise,11381,
266,Vorsicht,die,-,Vorsicht,11286,
267,Verbindung,die,Verbindungen,Verbindung,11226,
268,Tief,das,Tiefs,Tiefs,11225,
269,Richtung,die,Richtungen,Richtung,11223,
270,Lage,die,Lagen,Lage,11222,
271,Sowieso,der,Sowiesos,Sowiesos,11215,"EVET - iki farkli cinsiyeti var, kontrol et"
272,Kraft,die,Kräfte,Kraft,11202,
273,Normal,das,Normale,Normals,11201,
274,Lauf,der,Läufe,Laufs,11188,
275,Ehre,die,Ehren,Ehre,11187,
276,Geschenk,das,Geschenke,Geschenkes,11166,
277,Bar,die,Bars,Bars,11161,"EVET - iki farkli cinsiyeti var, kontrol et"
278,Tasche,die,Taschen,Tasche,11149,
279,Hunger,der,-,Hungers,11083,
280,Beziehung,die,Beziehungen,Beziehung,11054,
281,Preis,der,Preise,Preises,10954,
282,Witz,der,Witze,Witzes,10935,
283,Liste,die,Listen,Liste,10890,
284,Geist,der,-,Geistes,10882,
285,Firma,die,Firmen,Firma,10871,
286,Süße,die,-,Süße,10869,
287,Rücken,der,Rücken,Rückens,10852,
288,Letzter,der,-,-,10837,
289,Boot,das,-,Boots,10787,"EVET - iki farkli cinsiyeti var, kontrol et"
290,Tante,die,Tanten,Tante,10757,
291,Erwarten,das,-,Erwartens,10755,
292,Pferd,das,Pferde,Pferds,10723,
293,Wunder,das,Wunder,Wunders,10720,
294,Näher,der,Näher,Nähers,10689,
295,Major,der,Majore,Majors,10686,
296,Majestät,die,Majestäten,Majestät,10660,
297,Aussehen,das,-,Aussehens,10647,
298,Erreichen,das,-,Erreichens,10556,
299,Punkt,der,Punkte,Punktes,10553,
300,Kirche,die,Kirchen,Kirche,10507,
301,Befehl,der,Befehle,Befehles,10449,
302,Geburtstag,der,Geburtstage,Geburtstags,10417,
303,Haut,die,Häute,Haut,10413,
304,Wette,die,Wetten,Wette,10412,
305,Reich,das,Reiche,Reichs,10412,
306,Sekunde,die,Sekunden,Sekunde,10410,
307,Madame,die,Mesdames,Madame,10377,
308,Anruf,der,Anrufe,Anrufes,10355,
309,Frieden,der,Frieden,Friedens,10335,
310,Karte,die,Karten,Karte,10309,
311,Güte,die,-,Güte,10288,
312,Schade,der,Schäden,Schadens,10280,
313,Bleibe,die,Bleiben,Bleibe,10159,
314,Sonne,die,Sonnen,Sonne,10157,
315,Letztes,das,-,-,10140,
316,Professor,der,Professoren,Professors,10089,
317,Gericht,das,Gerichte,Gerichts,10088,
318,Nase,die,Nasen,Nase,10079,
319,Singen,das,-,Singens,10060,
320,Bank,die,Bänke,Bank,10059,
321,Computer,der,Computer,Computers,10052,
322,Weihnachten,das,Weihnachten,Weihnachten,10033,
323,Henry,das,-,Henry,9995,
324,Fuß,der,Füße,Fußes,9974,
325,Show,die,Shows,Show,9970,
326,Überraschung,die,Überraschungen,Überraschung,9952,
327,Geheimnis,das,Geheimnisse,Geheimnisses,9948,
328,Kontakt,der,Kontakte,Kontakts,9905,
329,Gold,das,-,Golds,9897,
330,Regierung,die,Regierungen,Regierung,9883,
331,Wein,der,Weine,Weins,9882,
332,Schlaf,der,-,Schlafs,9777,
333,Lust,die,Lüste,Lust,9773,
334,Willen,der,Willen,Willens,9752,
335,Heim,das,Heime,Heims,9704,
336,Blick,der,Blicke,Blicks,9627,
337,Besuch,der,Besuche,Besuchs,9624,
338,Präsident,der,Präsidenten,Präsidenten,9569,
339,Hoffnung,die,Hoffnungen,Hoffnung,9525,
340,Stecken,der,Stecken,Steckens,9516,
341,Miteinander,das,-,Miteinanders,9474,
342,Wohnen,das,-,Wohnens,9440,
343,Möglichkeit,die,Möglichkeiten,Möglichkeit,9434,
344,Flugzeug,das,Flugzeuge,Flugzeuges,9419,
345,Vergangenheit,die,Vergangenheiten,Vergangenheit,9406,
346,Armee,die,Armeen,Armee,9395,
347,Tee,der,Tees,Tees,9380,"EVET - iki farkli cinsiyeti var, kontrol et"
348,Don,der,-,Don,9335,
349,Hau,der,Haue,Haues,9269,
350,Mark,die,-,Mark,9243,"EVET - iki farkli cinsiyeti var, kontrol et"
351,Schlag,der,Schläge,Schlags,9240,
352,Untertitel,der,Untertitel,Untertitels,9224,
353,Gesellschaft,die,Gesellschaften,Gesellschaft,9216,
354,Hals,der,Hälse,Halses,9204,
355,Überleben,das,-,Überlebens,9139,
356,Gebäude,das,Gebäude,Gebäudes,9086,
357,Schicksal,das,Schicksale,Schicksales,9078,
358,Zeichen,das,Zeichen,Zeichens,9068,
359,Richter,der,Richter,Richters,9061,
360,Küche,die,Küchen,Küche,9052,
361,Vergnügen,das,Vergnügen,Vergnügens,9016,
362,Volk,das,Völker,Volks,9006,
363,Königin,die,Königinnen,Königin,8987,
364,Situation,die,Situationen,Situation,8967,
365,Verstand,der,-,Verstands,8919,
366,Bord,das,Borde,Bords,8915,"EVET - iki farkli cinsiyeti var, kontrol et"
367,Schönes,das,-,-,8905,
368,Lee,der,-,Lee,8856,
369,Bob,der,Bobs,Bobs,8852,
370,Rat,der,Räte,Rates,8842,
371,Kamera,die,Kameras,Kamera,8821,
372,Achtung,die,-,Achtung,8811,
373,Glückwunsch,der,Glückwünsche,Glückwunsches,8778,
374,Gegend,die,Gegenden,Gegend,8754,
375,Wald,der,Wälder,Waldes,8752,
376,Glas,das,Gläser,Glases,8710,
377,Jesus,der,-,-,8675,
378,Kleid,das,Kleider,Kleides,8663,
379,Abendessen,das,Abendessen,Abendessens,8629,
380,Gesetz,das,Gesetze,Gesetzes,8620,
381,Schritt,der,Schritte,Schritts,8587,
382,Nahe,die,-,Nahe,8576,
383,Band,das,-,Bandes,8567,"EVET - iki farkli cinsiyeti var, kontrol et"
384,Aufgabe,die,Aufgaben,Aufgabe,8559,
385,Spur,die,Spuren,Spur,8508,
386,Freude,die,Freuden,Freude,8440,
387,Ehemann,der,Ehemänner,Ehemannes,8432,
388,Schwein,das,Schweine,Schweins,8424,
389,Monster,das,Monster,Monsters,8409,
390,Mission,die,Missionen,Mission,8408,
391,Brauch,der,Bräuche,Brauchs,8391,
392,Stopp,der,Stopps,Stopps,8367,
393,Übel,das,Übel,Übels,8362,
394,Schlampe,die,Schlampen,Schlampe,8361,
395,Adresse,die,Adressen,Adresse,8356,
396,Unsinn,der,-,Unsinns,8340,
397,Messer,das,Messer,Messers,8335,"EVET - iki farkli cinsiyeti var, kontrol et"
398,Respekt,der,-,Respekts,8328,
399,Leisten,der,Leisten,Leistens,8316,
400,Ball,der,Bälle,Balles,8258,
401,Hälfte,die,Hälften,Hälfte,8236,
402,Gruppe,die,Gruppen,Gruppe,8153,
403,Anna,der,-,Anna,8151,
404,Deal,der,Deals,Deals,8098,
405,Eis,das,-,Eises,8082,
406,Erfolg,der,Erfolge,Erfolges,8064,
407,Wochenende,das,Wochenenden,Wochenendes,8041,
408,Verbrechen,das,Verbrechen,Verbrechens,8009,
409,Bericht,der,Berichte,Berichtes,8007,
410,Prinzessin,die,Prinzessinnen,Prinzessin,7960,
411,Schmerz,der,Schmerzen,Schmerzes,7959,
412,Position,die,Positionen,Position,7947,
413,Fernsehen,das,-,Fernsehens,7915,
414,Schätzchen,das,Schätzchen,Schätzchens,7887,
415,Angebot,das,Angebote,Angebots,7873,
416,Ring,der,Ringe,Ringes,7839,
417,Rennen,das,Rennen,Rennens,7835,
418,Lied,das,Lieder,Liedes,7827,
419,Falle,die,Fallen,Falle,7786,
420,Drink,der,Drinks,Drinks,7784,
421,Insel,die,Inseln,Insel,7781,
422,Dorf,das,Dörfer,Dorfs,7729,
423,Feind,der,Feinde,Feinds,7701,
424,Bauen,das,-,Bauens,7681,
425,Unternehmen,das,Unternehmen,Unternehmens,7630,
426,Versprechen,das,Versprechen,Versprechens,7561,
427,Freiheit,die,Freiheiten,Freiheit,7525,
428,Schaden,der,Schäden,Schadens,7496,
429,Park,der,-,Parks,7448,
430,Energie,die,Energien,Energie,7412,
431,Fleisch,das,-,Fleischs,7407,
432,Besonderes,das,-,-,7400,
433,Zeitung,die,Zeitungen,Zeitung,7361,
434,Gespräch,das,Gespräche,Gespräches,7342,
435,Leiden,das,Leiden,Leidens,7334,
436,See,der,Seen,Sees,7311,"EVET - iki farkli cinsiyeti var, kontrol et"
437,Unterschied,der,Unterschiede,Unterschiedes,7311,
438,Wind,der,Winde,Windes,7286,
439,Wand,die,Wände,Wand,7256,
440,Bus,der,Busse,Busses,7253,
441,Angriff,der,Angriffe,Angriffes,7251,
442,Verhalten,das,Verhalten,Verhaltens,7247,
443,Loch,das,Löcher,Lochs,7238,"EVET - iki farkli cinsiyeti var, kontrol et"
444,Interesse,das,Interessen,Interesses,7235,
445,Quatsch,der,-,Quatschs,7233,
446,Polizist,der,Polizisten,Polizisten,7224,
447,Flasche,die,Flaschen,Flasche,7206,
448,Schuss,der,Schüsse,Schusses,7198,
449,Meer,das,Meere,Meers,7188,
450,Maschine,die,Maschinen,Maschine,7180,
451,Spreche,die,-,Spreche,7178,
452,Bein,das,Beine,Beins,7174,
453,Frühstück,das,Frühstücke,Frühstücks,7121,
454,Tommy,der,Tommys,Tommy,7118,
455,Engel,der,Engel,Engels,7061,
456,Gelegenheit,die,Gelegenheiten,Gelegenheit,7056,
457,Fang,der,Fänge,Fangs,7047,
458,Lüge,die,Lügen,Lüge,7045,
459,Zeitpunkt,der,Zeitpunkte,Zeitpunktes,7024,
460,Ecke,die,Ecken,Ecke,7019,
461,Brücke,die,Brücken,Brücke,7012,
462,Druck,der,-,Drucks,7000,
463,Date,das,Dates,Dates,6993,
464,Haufen,der,Haufen,Haufens,6986,
465,Oma,die,Omas,Oma,6985,
466,Auftrag,der,Aufträge,Auftrages,6980,
467,Entkommen,das,-,Entkommens,6965,
468,Bobby,der,Bobbys,Bobbys,6960,
469,Lösung,die,Lösungen,Lösung,6951,
470,Pause,die,Pausen,Pause,6929,
471,Irre,die,-,Irre,6929,
472,Keller,der,Keller,Kellers,6922,
473,Nutzen,der,Nutzen,Nutzens,6904,
474,Maul,das,Mäuler,Mauls,6899,
475,Verantwortung,die,Verantwortungen,Verantwortung,6897,
476,Schloss,das,Schlösser,Schlosses,6891,
477,Hut,der,Hüte,Hutes,6882,"EVET - iki farkli cinsiyeti var, kontrol et"
478,Lächeln,das,Lächeln,Lächelns,6881,
479,Grad,der,Grade,Grads,6853,
480,Fahrt,die,Fahrten,Fahrt,6833,
481,Bombe,die,Bomben,Bombe,6816,
482,Haar,das,Haare,Haars,6763,"EVET - iki farkli cinsiyeti var, kontrol et"
483,Operation,die,Operationen,Operation,6736,
484,Dach,das,Dächer,Dachs,6713,
485,Folge,die,Folgen,Folge,6711,
486,Schwarze,die,-,-,6699,
487,Gehirn,das,Gehirne,Gehirns,6685,
488,Mut,der,-,Mutes,6674,
489,Heilige,die,-,-,6656,
490,Tier,das,Tiere,Tiers,6653,
491,System,das,Systeme,Systems,6648,
492,Wahnsinn,der,-,Wahnsinns,6639,
493,Rose,die,Rosen,Rose,6632,
494,Club,der,Clubs,Clubs,6628,
495,Hintern,der,Hintern,Hinterns,6614,
496,Thema,das,-,Themas,6606,
497,Urlaub,der,Urlaube,Urlaubes,6564,
498,Steig,der,Steige,Steigs,6562,
499,Beweis,der,Beweise,Beweises,6554,
500,Baum,der,Bäume,Baums,6544,
501,Lehrer,der,Lehrer,Lehrers,6528,
502,Nachmittag,der,Nachmittage,Nachmittags,6492,
503,Risiko,das,-,Risikos,6482,
504,Knast,der,-,Knastes,6476,
505,Held,der,Helden,Helden,6458,
506,Fräulein,das,-,Fräuleins,6438,
507,Prima,die,Primen,Prima,6417,
508,Gewalt,die,Gewalten,Gewalt,6401,
509,Tor,das,Tore,Tors,6382,"EVET - iki farkli cinsiyeti var, kontrol et"
510,Erfahrung,die,Erfahrungen,Erfahrung,6381,
511,Katze,die,Katzen,Katze,6377,
512,Runde,die,Runden,Runde,6377,
513,Deutsche,das,-,Deutschen,6370,"EVET - iki farkli cinsiyeti var, kontrol et"
514,Schwanz,der,Schwänze,Schwanzes,6369,
515,Lord,der,Lords,Lords,6360,
516,Großvater,der,Großväter,Großvaters,6351,
517,Sommer,der,Sommer,Sommers,6351,
518,Gewissen,das,Gewissen,Gewissens,6346,
519,Luke,die,Luken,Luke,6328,
520,Kate,die,Katen,Kate,6318,
521,Stein,der,Steine,Steins,6301,
522,Atmen,das,-,Atmens,6291,
523,Hose,die,Hosen,Hose,6273,
524,Weiße,die,-,-,6272,
525,City,die,Citys,City,6265,
526,Prinz,der,Prinzen,Prinzen,6260,
527,Tote,die,-,-,6250,
528,Restaurant,das,Restaurants,Restaurants,6223,
529,Natur,die,Naturen,Natur,6219,
530,Mami,die,Mamis,Mami,6206,
531,Streit,der,Streite,Streites,6196,
532,Bad,das,Bäder,Bads,6155,
533,Kugel,die,Kugeln,Kugel,6146,
534,Flug,der,Flüge,Flugs,6126,
535,Halbe,die,-,Halben,6108,
536,Dan,der,Dan,Dan,6106,
537,College,das,Colleges,Colleges,6070,
538,Schwert,das,Schwerter,Schwertes,6060,
539,Labor,das,-,Labors,6049,
540,Fisch,der,Fische,Fischs,6038,
541,Erschießen,das,-,Erschießens,6009,
542,Kuchen,der,Kuchen,Kuchens,6004,
543,Zustand,der,Zustände,Zustandes,6003,
544,Wunsch,der,Wünsche,Wunsches,5993,
545,Farbe,die,Farben,Farbe,5988,
546,Van,der,Vans,Vans,5986,
547,Zufall,der,Zufälle,Zufalles,5983,
548,Garten,der,Gärten,Gartens,5983,
549,Koffer,der,Koffer,Koffers,5956,
550,Kurs,der,Kurse,Kurses,5950,
551,Lager,das,-,Lagers,5900,
552,Reihe,die,Reihen,Reihe,5895,
553,Vogel,der,Vögel,Vogels,5892,
554,Strand,der,Strände,Strands,5873,
555,Amerikaner,der,Amerikaner,Amerikaners,5869,
556,Schwarz,das,-,Schwarz,5861,
557,Scherz,der,Scherze,Scherzes,5844,
558,Rot,das,-,Rots,5784,
559,Soldat,der,Soldaten,Soldaten,5782,
560,Reisen,das,-,Reisens,5767,
561,Termin,der,Termine,Termines,5765,
562,Gang,der,Gänge,Gangs,5761,"EVET - iki farkli cinsiyeti var, kontrol et"
563,Rache,die,-,Rache,5751,
564,Vertrag,der,Verträge,Vertrages,5730,
565,Dienst,der,Dienste,Diensts,5727,
566,Wesen,das,Wesen,Wesens,5722,
567,Bürgermeister,der,Bürgermeister,Bürgermeisters,5720,
568,Fluss,der,Flüsse,Flusses,5711,
569,Durcheinander,das,Durcheinander,Durcheinanders,5705,
570,Nette,die,-,Nette,5690,
571,Test,der,-,Testes,5689,
572,Mister,der,Mister,Misters,5688,
573,Direktor,der,Direktoren,Direktors,5671,
574,Karriere,die,Karrieren,Karriere,5655,
575,Akte,die,Akten,Akte,5633,
576,Erinnerung,die,Erinnerungen,Erinnerung,5621,
577,Großmutter,die,Großmütter,Großmutter,5603,
578,Bravo,das,Bravos,Bravos,5590,"EVET - iki farkli cinsiyeti var, kontrol et"
579,Griff,der,Griffe,Griffes,5585,
580,Zweifel,der,Zweifel,Zweifels,5581,
581,Sprache,die,Sprachen,Sprache,5579,
582,Fass,das,Fässer,Fasses,5538,
583,Szene,die,Szenen,Szene,5525,
584,Pflicht,die,Pflichten,Pflicht,5489,
585,Wache,die,Wachen,Wache,5485,
586,Knie,das,Knie,Knies,5483,
587,Schutz,der,Schutze,Schutzes,5464,
588,Kuss,der,Küsse,Kusses,5447,
589,Video,das,Videos,Videos,5444,
